xmin,ymin,xmax,ymax,accident_count,rank
428200,432900,429200,433900,154,480
428900,434700,429900,435700,154,481
428200,432600,429200,433600,153,482
428000,432600,429000,433600,153,483
429300,434200,430300,435200,153,484
430100,434400,431100,435400,152,485
428900,434500,429900,435500,152,486
428100,432700,429100,433700,152,487
429400,432400,430400,433400,152,488
429400,434000,430400,435000,152,489
429800,434500,430800,435500,151,490
429800,434400,430800,435400,151,491
428000,435000,429000,436000,151,492
428200,432700,429200,433700,151,493
429200,434100,430200,435100,151,494
428000,432500,429000,433500,151,495
429500,434000,430500,435000,151,496
428900,432700,429900,433700,151,497
429100,432600,430100,433600,150,498
428300,434800,429300,435800,150,499
428300,432800,429300,433800,150,500
431000,434000,432000,435000,149,501
430100,434600,431100,435600,149,502
428200,434800,429200,435800,149,503
429000,432600,430000,433600,149,504
428600,433500,429600,434500,149,505
428200,433100,429200,434100,149,506
428100,434800,429100,435800,149,507
430000,435000,431000,436000,148,508
428000,434700,429000,435700,148,509
428000,434500,429000,435500,148,510
428400,434500,429400,435500,148,511
429700,434300,430700,435300,148,512
430000,434700,431000,435700,148,513
430400,434800,431400,435800,148,514
428500,434500,429500,435500,148,515
428800,434800,429800,435800,148,516
429800,432300,430800,433300,147,517
430400,434900,431400,435900,147,518
428300,434900,429300,435900,147,519
430300,434400,431300,435400,147,520
428200,433400,429200,434400,147,521
430200,432400,431200,433400,147,522
428000,434200,429000,435200,147,523
429200,434000,430200,435000,146,524
429900,434700,430900,435700,146,525
428500,433600,429500,434600,146,526
428000,432700,429000,433700,146,527
428200,434900,429200,435900,146,528
428900,434800,429900,435800,146,529
430300,434300,431300,435300,146,530
430300,434600,431300,435600,146,531
429100,432500,430100,433500,145,532
430700,432600,431700,433600,145,533
429500,434100,430500,435100,145,534
428300,434700,429300,435700,145,535
428200,433200,429200,434200,145,536
428400,433500,429400,434500,145,537
428200,432800,429200,433800,145,538
429800,434600,430800,435600,145,539
428100,432500,429100,433500,144,540
428000,434000,429000,435000,144,541
428200,433300,429200,434300,144,542
428000,434600,429000,435600,144,543
429900,432300,430900,433300,143,544
429300,434300,430300,435300,143,545
429400,434100,430400,435100,143,546
428300,433500,429300,434500,143,547
428700,433600,429700,434600,143,548
428600,432700,429600,433700,142,549
430000,434900,431000,435900,142,550
430000,434800,431000,435800,142,551
428000,434300,429000,435300,142,552
429100,434100,430100,435100,142,553
429100,434600,430100,435600,142,554
428300,432500,429300,433500,142,555
430800,433000,431800,434000,142,556
429300,434600,430300,435600,141,557
428000,434100,429000,435100,141,558
428400,432500,429400,433500,141,559
428500,432500,429500,433500,141,560
428200,434700,429200,435700,140,561
428400,435000,429400,436000,140,562
428700,432700,429700,433700,140,563
428100,434700,429100,435700,139,564
428100,432800,429100,433800,139,565
430400,435000,431400,436000,139,566
428000,432400,429000,433400,139,567
429300,432400,430300,433400,138,568
430900,433400,431900,434400,138,569
428500,435000,429500,436000,138,570
428700,435000,429700,436000,138,571
428000,433900,429000,434900,138,572
428800,434900,429800,435900,138,573
428900,433800,429900,434800,137,574
429100,434500,430100,435500,137,575
430900,434000,431900,435000,137,576
428300,434600,429300,435600,137,577
429100,434000,430100,435000,137,578
428100,435000,429100,436000,137,579
428200,432500,429200,433500,137,580
428000,433800,429000,434800,137,581
431000,433900,432000,434900,137,582
429100,434700,430100,435700,137,583
429500,434200,430500,435200,136,584
428900,434900,429900,435900,136,585
430200,434700,431200,435700,136,586
428600,435000,429600,436000,136,587
429300,434500,430300,435500,136,588
428200,433500,429200,434500,136,589
428700,433700,429700,434700,135,590
428100,433000,429100,434000,135,591
429000,434500,430000,435500,135,592
429300,434700,430300,435700,135,593
428500,433700,429500,434700,135,594
430900,433600,431900,434600,134,595
428000,433700,429000,434700,134,596
428100,432900,429100,433900,134,597
430100,435000,431100,436000,134,598
428200,434600,429200,435600,134,599
428800,432700,429800,433700,134,600
429200,434600,430200,435600,133,601
430700,432500,431700,433500,133,602
430200,434800,431200,435800,133,603
430200,434900,431200,435900,133,604
430200,435000,431200,436000,133,605
428400,433600,429400,434600,133,606
429000,434600,430000,435600,133,607
428100,434600,429100,435600,132,608
428000,432800,429000,433800,132,609
429700,432300,430700,433300,132,610
428800,433800,429800,434800,132,611
429100,434800,430100,435800,132,612
429900,434800,430900,435800,132,613
428100,432400,429100,433400,132,614
429400,434200,430400,435200,132,615
430900,433500,431900,434500,131,616
428600,433600,429600,434600,131,617
430100,434700,431100,435700,131,618
428300,433600,429300,434600,131,619
428100,433100,429100,434100,131,620
428600,432600,429600,433600,130,621
431000,433800,432000,434800,130,622
429000,433900,430000,434900,130,623
429000,434100,430000,435100,130,624
428300,435000,429300,436000,130,625
429300,434800,430300,435800,129,626
429000,432500,430000,433500,129,627
428000,432300,429000,433300,129,628
430900,433300,431900,434300,129,629
429200,434200,430200,435200,129,630
429600,434000,430600,435000,129,631
431000,433400,432000,434400,129,632
428900,432600,429900,433600,129,633
429200,434500,430200,435500,128,634
430100,434900,431100,435900,128,635
428700,432600,429700,433600,128,636
429000,434700,430000,435700,128,637
429500,434300,430500,435300,128,638
429200,434700,430200,435700,128,639
430300,434700,431300,435700,128,640
428200,435000,429200,436000,128,641
430100,434800,431100,435800,127,642
431000,433600,432000,434600,127,643
429900,434900,430900,435900,127,644
429900,435000,430900,436000,127,645
429800,432100,430800,433100,127,646
428100,433400,429100,434400,127,647
430900,433900,431900,434900,127,648
428300,433700,429300,434700,127,649
431000,433500,432000,434500,127,650
428200,432400,429200,433400,126,651
430300,435000,431300,436000,126,652
428300,433800,429300,434800,126,653
430900,433800,431900,434800,126,654
430000,432300,431000,433300,125,655
429600,432300,430600,433300,125,656
428000,433600,429000,434600,125,657
428300,432400,429300,433400,125,658
428000,434400,429000,435400,125,659
429100,434300,430100,435300,125,660
428100,433200,429100,434200,125,661
428300,434500,429300,435500,124,662
428400,433700,429400,434700,124,663
429100,434200,430100,435200,124,664
428100,433300,429100,434300,124,665
428100,432300,429100,433300,124,666
430900,433700,431900,434700,123,667
429200,434800,430200,435800,123,668
429300,434400,430300,435400,123,669
428100,434500,429100,435500,123,670
428200,433600,429200,434600,122,671
429600,434100,430600,435100,122,672
430300,434900,431300,435900,122,673
429800,434700,430800,435700,122,674
428600,433700,429600,434700,121,675
429600,434200,430600,435200,121,676
428200,433800,429200,434800,121,677
428800,435000,429800,436000,121,678
428200,433700,429200,434700,121,679
430300,432400,431300,433400,121,680
429700,434400,430700,435400,121,681
429700,434500,430700,435500,121,682
428200,434500,429200,435500,121,683
429000,434200,430000,435200,121,684
429000,434300,430000,435300,121,685
429000,434800,430000,435800,121,686
429400,434300,430400,435300,121,687
430300,434800,431300,435800,121,688
429200,434300,430200,435300,120,689
428400,432400,429400,433400,120,690
430800,432900,431800,433900,120,691
429700,432100,430700,433100,120,692
428600,434400,429600,435400,119,693
428200,432300,429200,433300,119,694
428900,435000,429900,436000,119,695
429100,434900,430100,435900,119,696
429500,432300,430500,433300,119,697
429600,434300,430600,435300,118,698
428400,434300,429400,435300,118,699
429800,432000,430800,433000,118,700
428000,432900,429000,433900,118,701
428300,432300,429300,433300,118,702
428000,433400,429000,434400,118,703
429800,432200,430800,433200,117,704
430900,433200,431900,434200,117,705
428700,433800,429700,434800,117,706
428800,432600,429800,433600,117,707
429700,434600,430700,435600,117,708
428100,433500,429100,434500,117,709
430100,432300,431100,433300,116,710
429100,434400,430100,435400,116,711
431000,433700,432000,434700,116,712
428400,434400,429400,435400,115,713
430900,433100,431900,434100,115,714
428000,433000,429000,434000,115,715
428500,433800,429500,434800,115,716
428100,434000,429100,435000,115,717
429000,434000,430000,435000,115,718
428100,432200,429100,433200,115,719
429700,432000,430700,433000,114,720
428000,433100,429000,434100,114,721
429600,432100,430600,433100,114,722
428900,434300,429900,435300,114,723
428400,432300,429400,433300,114,724
429300,434900,430300,435900,114,725
428000,432200,429000,433200,114,726
428400,434200,429400,435200,113,727
429000,434400,430000,435400,113,728
428100,434200,429100,435200,113,729
429400,434600,430400,435600,113,730
429200,432400,430200,433400,113,731
428100,433700,429100,434700,113,732
428100,433800,429100,434800,113,733
428600,434300,429600,435300,113,734
428900,434100,429900,435100,112,735
429500,434600,430500,435600,112,736
428100,433600,429100,434600,112,737
428700,432500,429700,433500,112,738
428700,434400,429700,435400,112,739
428100,433900,429100,434900,111,740
429900,432100,430900,433100,111,741
428000,433300,429000,434300,111,742
428600,432500,429600,433500,111,743
429500,432100,430500,433100,111,744
428100,434300,429100,435300,111,745
428900,434400,429900,435400,111,746
428200,434000,429200,435000,110,747
429800,434800,430800,435800,110,748
429200,434900,430200,435900,110,749
428200,432200,429200,433200,110,750
429600,432000,430600,433000,110,751
431000,433300,432000,434300,110,752
429400,432300,430400,433300,109,753
428300,432200,429300,433200,109,754
428900,433900,429900,434900,109,755
429400,434500,430400,435500,109,756
428500,432400,429500,433400,109,757
429000,434900,430000,435900,109,758
430800,432800,431800,433800,109,759
429500,432000,430500,433000,109,760
428800,434400,429800,435400,108,761
428200,434300,429200,435300,108,762
428100,434100,429100,435100,108,763
428000,433200,429000,434200,108,764
428000,433500,429000,434500,108,765
429700,432200,430700,433200,108,766
428900,434200,429900,435200,108,767
428200,432100,429200,433100,108,768
428300,432100,429300,433100,108,769
429200,434400,430200,435400,107,770
428600,433800,429600,434800,107,771
428700,434300,429700,435300,107,772
428300,434300,429300,435300,107,773
428200,433900,429200,434900,107,774
430400,432400,431400,433400,107,775
428900,432500,429900,433500,106,776
428800,434300,429800,435300,106,777
429500,434700,430500,435700,106,778
429500,434500,430500,435500,106,779
430900,433000,431900,434000,106,780
429800,435000,430800,436000,106,781
429400,434700,430400,435700,106,782
429800,434900,430800,435900,106,783
428400,433800,429400,434800,106,784
430800,432700,431800,433700,105,785
428300,434000,429300,435000,105,786
430500,432400,431500,433400,105,787
428300,433900,429300,434900,105,788
429500,434400,430500,435400,105,789
428400,434100,429400,435100,105,790
429900,432200,430900,433200,105,791
428500,432300,429500,433300,105,792
428500,434400,429500,435400,105,793
430200,432300,431200,433300,105,794
428100,432100,429100,433100,104,795
429300,432300,430300,433300,104,796
429400,432000,430400,433000,104,797
429400,432100,430400,433100,104,798
428800,433900,429800,434900,104,799
428200,434200,429200,435200,104,800
429600,435000,430600,436000,104,801
428400,432100,429400,433100,104,802
428400,432200,429400,433200,104,803
430600,432400,431600,433400,103,804
430000,432100,431000,433100,102,805
428000,432100,429000,433100,102,806
429600,432200,430600,433200,102,807
428300,434200,429300,435200,102,808
429100,435000,430100,436000,102,809
429700,434700,430700,435700,102,810
429900,432000,430900,433000,102,811
429400,434400,430400,435400,101,812
429500,434800,430500,435800,101,813
429700,435000,430700,436000,101,814
428500,434300,429500,435300,101,815
428600,434200,429600,435200,101,816
428100,434400,429100,435400,100,817
429600,434600,430600,435600,100,818
428800,434100,429800,435100,100,819
429100,432400,430100,433400,100,820
429600,434900,430600,435900,99,821
428200,434100,429200,435100,99,822
429400,434800,430400,435800,99,823
429700,434800,430700,435800,98,824
428700,434200,429700,435200,98,825
428200,434400,429200,435400,98,826
429500,432200,430500,433200,98,827
429600,434800,430600,435800,98,828
428500,434200,429500,435200,98,829
428900,434000,429900,435000,97,830
428800,432500,429800,433500,97,831
428300,434400,429300,435400,97,832
429300,432000,430300,433000,97,833
430000,432000,431000,433000,97,834
429700,434900,430700,435900,97,835
428300,434100,429300,435100,97,836
431000,433200,432000,434200,96,837
428600,434100,429600,435100,96,838
430000,432200,431000,433200,96,839
429300,432100,430300,433100,96,840
429600,434700,430600,435700,96,841
428800,434200,429800,435200,96,842
428500,432100,429500,433100,96,843
429600,434500,430600,435500,96,844
430800,432600,431800,433600,95,845
428500,432200,429500,433200,95,846
428700,434100,429700,435100,94,847
429600,434400,430600,435400,94,848
428500,434100,429500,435100,93,849
429300,435000,430300,436000,93,850
429200,435000,430200,436000,93,851
429500,435000,430500,436000,93,852
428400,434000,429400,435000,93,853
429000,435000,430000,436000,92,854
429200,432100,430200,433100,91,855
430300,432300,431300,433300,91,856
429400,432200,430400,433200,91,857
428700,433900,429700,434900,91,858
429100,432100,430100,433100,90,859
430900,432900,431900,433900,90,860
431000,433100,432000,434100,90,861
429200,432000,430200,433000,90,862
428300,432000,429300,433000,88,863
428200,432000,429200,433000,88,864
430500,432300,431500,433300,87,865
430800,432500,431800,433500,87,866
429400,435000,430400,436000,87,867
430400,432300,431400,433300,87,868
429200,432300,430200,433300,87,869
429500,434900,430500,435900,87,870
428600,433900,429600,434900,86,871
430100,432100,431100,433100,86,872
429000,432100,430000,433100,86,873
429100,432000,430100,433000,86,874
428000,432000,429000,433000,86,875
429400,434900,430400,435900,85,876
428800,434000,429800,435000,85,877
429300,432200,430300,433200,85,878
430100,432200,431100,433200,85,879
428100,432000,429100,433000,85,880
430600,432300,431600,433300,85,881
428400,432000,429400,433000,85,882
430900,432800,431900,433800,85,883
428600,434000,429600,435000,84,884
429000,432400,430000,433400,84,885
430700,432400,431700,433400,84,886
430100,432000,431100,433000,83,887
430900,432700,431900,433700,83,888
428500,433900,429500,434900,82,889
428700,434000,429700,435000,82,890
429100,432300,430100,433300,82,891
429000,432000,430000,433000,81,892
428500,434000,429500,435000,81,893
431000,433000,432000,434000,81,894
429200,432200,430200,433200,80,895
428400,433900,429400,434900,80,896
428500,432000,429500,433000,79,897
428600,432400,429600,433400,77,898
429100,432200,430100,433200,77,899
430200,432200,431200,433200,76,900
428900,432100,429900,433100,75,901
430300,432200,431300,433200,75,902
430500,432200,431500,433200,74,903
428700,432400,429700,433400,74,904
430600,432200,431600,433200,74,905
428900,432000,429900,433000,74,906
428600,432300,429600,433300,74,907
430900,432600,431900,433600,74,908
429000,432200,430000,433200,73,909
429000,432300,430000,433300,73,910
428700,432300,429700,433300,73,911
428700,432100,429700,433100,73,912
430400,432200,431400,433200,72,913
430200,432100,431200,433100,72,914
428700,432000,429700,433000,71,915
430300,432100,431300,433100,70,916
428600,432100,429600,433100,69,917
428600,432200,429600,433200,69,918
430200,432000,431200,433000,69,919
428700,432200,429700,433200,69,920
430700,432300,431700,433300,68,921
428800,432100,429800,433100,68,922
428800,432000,429800,433000,67,923
431000,432900,432000,433900,67,924
430600,432100,431600,433100,66,925
430500,432100,431500,433100,66,926
430900,432500,431900,433500,66,927
430300,432000,431300,433000,66,928
428600,432000,429600,433000,66,929
430600,432000,431600,433000,65,930
430500,432000,431500,433000,65,931
431000,432800,432000,433800,65,932
430400,432100,431400,433100,64,933
431000,432700,432000,433700,64,934
430400,432000,431400,433000,62,935
430800,432400,431800,433400,62,936
430700,432200,431700,433200,58,937
428900,432200,429900,433200,58,938
431000,432600,432000,433600,57,939
428800,432200,429800,433200,54,940
428800,432400,429800,433400,53,941
430800,432300,431800,433300,52,942
430900,432200,431900,433200,51,943
428900,432300,429900,433300,51,944
430900,432400,431900,433400,51,945
430700,432100,431700,433100,50,946
430700,432000,431700,433000,50,947
428800,432300,429800,433300,50,948
430800,432200,431800,433200,49,949
430900,432300,431900,433300,49,950
428900,432400,429900,433400,48,951
430900,432000,431900,433000,45,952
431000,432500,432000,433500,44,953
431000,432300,432000,433300,44,954
431000,432200,432000,433200,43,955
430800,432000,431800,433000,43,956
430900,432100,431900,433100,42,957
431000,432000,432000,433000,41,958
430800,432100,431800,433100,40,959
431000,432100,432000,433100,38,960
431000,432400,432000,433400,38,961
